,datetime,open,high,low,close,volume
0,2015-02-02 03:45:00+00:00,0.9,0.95,0.9,0.95,1000
1,2015-02-02 03:50:00+00:00,0.9,0.95,0.9,0.95,0
2,2015-02-02 03:55:00+00:00,0.95,0.95,0.95,0.95,0
3,2015-02-02 04:00:00+00:00,0.95,0.95,0.95,0.95,0
4,2015-02-02 04:05:00+00:00,0.95,0.95,0.95,0.95,12
5,2015-02-02 04:10:00+00:00,0.95,0.95,0.95,0.95,0
6,2015-02-02 04:15:00+00:00,0.95,0.95,0.95,0.95,0
7,2015-02-02 04:20:00+00:00,0.95,0.95,0.95,0.95,0
8,2015-02-02 04:25:00+00:00,0.95,0.95,0.95,0.95,0
9,2015-02-02 04:30:00+00:00,0.95,0.95,0.85,0.95,200
10,2015-02-02 04:35:00+00:00,0.85,0.95,0.85,0.85,0
11,2015-02-02 04:40:00+00:00,0.85,0.95,0.85,0.85,130
12,2015-02-02 04:45:00+00:00,0.85,0.85,0.85,0.85,0
13,2015-02-02 04:50:00+00:00,0.85,0.85,0.85,0.85,0
14,2015-02-02 04:55:00+00:00,0.85,0.85,0.85,0.85,0
15,2015-02-02 05:00:00+00:00,0.85,0.85,0.85,0.85,0
16,2015-02-02 05:05:00+00:00,0.85,0.85,0.85,0.85,0
17,2015-02-02 05:10:00+00:00,0.85,0.85,0.85,0.85,0
18,2015-02-02 05:15:00+00:00,0.85,0.85,0.85,0.85,0
19,2015-02-02 05:20:00+00:00,0.85,0.95,0.85,0.95,20
20,2015-02-02 05:25:00+00:00,0.95,0.95,0.85,0.95,0
21,2015-02-02 05:30:00+00:00,0.95,0.95,0.95,0.95,0
22,2015-02-02 05:35:00+00:00,0.95,0.95,0.95,0.95,0
23,2015-02-02 05:40:00+00:00,0.95,0.95,0.95,0.95,0
24,2015-02-02 05:45:00+00:00,0.95,0.95,0.95,0.95,300
25,2015-02-02 05:50:00+00:00,0.95,0.95,0.95,0.95,0
26,2015-02-02 05:55:00+00:00,0.95,0.95,0.95,0.95,0
27,2015-02-02 06:00:00+00:00,0.85,0.95,0.85,0.95,572
28,2015-02-02 06:05:00+00:00,0.85,0.95,0.85,0.95,20000
29,2015-02-02 06:10:00+00:00,0.95,0.95,0.95,0.95,0
30,2015-02-02 06:15:00+00:00,0.95,0.95,0.95,0.95,410
