,datetime,open,high,low,close,volume
0,2016-05-09 04:05:00+00:00,121.9,121.9,121.9,121.9,2
1,2016-05-09 04:10:00+00:00,121.9,121.9,121.9,121.9,0
2,2016-05-09 04:15:00+00:00,121.9,133.55,115.3,133.55,91
3,2016-05-09 04:20:00+00:00,133.55,133.55,133.55,133.55,0
4,2016-05-09 04:25:00+00:00,133.55,133.55,133.55,133.55,0
5,2016-05-09 04:30:00+00:00,133.55,133.55,116.5,116.55,105
6,2016-05-09 04:35:00+00:00,116.55,116.55,116.0,116.1,115
7,2016-05-09 04:40:00+00:00,116.1,116.8,116.1,116.8,51
8,2016-05-09 04:45:00+00:00,116.8,116.8,116.8,116.8,0
9,2016-05-09 04:50:00+00:00,116.8,116.8,116.8,116.8,0
10,2016-05-09 04:55:00+00:00,116.8,116.8,116.8,116.8,0
11,2016-05-09 05:00:00+00:00,116.8,124.4,116.8,124.4,35
12,2016-05-09 05:05:00+00:00,124.4,124.4,124.4,124.4,0
13,2016-05-09 05:10:00+00:00,124.4,124.4,115.3,119.9,322
14,2016-05-09 05:15:00+00:00,120.0,120.0,113.7,113.7,354
15,2016-05-09 05:20:00+00:00,113.7,113.7,113.7,113.7,0
16,2016-05-09 05:25:00+00:00,113.7,113.7,113.7,113.7,0
17,2016-05-09 05:30:00+00:00,113.7,113.75,113.7,113.75,100
18,2016-05-09 05:35:00+00:00,113.75,116.0,113.75,116.0,1
19,2016-05-09 05:40:00+00:00,116.0,118.0,116.0,117.0,373
20,2016-05-09 05:45:00+00:00,117.0,118.25,117.0,118.0,1020
21,2016-05-09 05:50:00+00:00,118.0,121.7,115.1,121.7,88
22,2016-05-09 05:55:00+00:00,121.7,121.7,121.7,121.7,0
23,2016-05-09 06:00:00+00:00,121.7,121.7,121.7,121.7,0
24,2016-05-09 06:05:00+00:00,121.7,121.7,114.2,116.0,1003
25,2016-05-09 06:10:00+00:00,116.0,116.0,116.0,116.0,0
26,2016-05-09 06:15:00+00:00,116.0,116.0,116.0,116.0,0
27,2016-05-09 06:20:00+00:00,116.0,116.0,116.0,116.0,0
28,2016-05-09 06:25:00+00:00,116.0,116.0,116.0,116.0,0
29,2016-05-09 06:30:00+00:00,116.0,116.0,116.0,116.0,11
30,2016-05-09 06:35:00+00:00,114.2,114.2,113.7,113.8,239
31,2016-05-09 06:40:00+00:00,113.8,113.8,113.8,113.8,40
32,2016-05-09 06:45:00+00:00,113.8,114.25,113.8,114.25,229
33,2016-05-09 06:50:00+00:00,114.25,114.25,114.25,114.25,0
34,2016-05-09 06:55:00+00:00,114.25,114.25,114.25,114.25,0
35,2016-05-09 07:00:00+00:00,114.25,116.9,113.8,116.9,51
36,2016-05-09 07:05:00+00:00,116.9,116.9,116.9,116.9,0
37,2016-05-09 07:10:00+00:00,116.9,116.9,112.1,112.1,212
38,2016-05-09 07:15:00+00:00,112.1,112.1,112.1,112.1,0
39,2016-05-09 07:20:00+00:00,112.1,112.1,112.1,112.1,0
40,2016-05-09 07:25:00+00:00,112.1,117.95,112.1,117.95,600
41,2016-05-09 07:30:00+00:00,117.95,117.95,117.95,117.95,0
42,2016-05-09 07:35:00+00:00,117.95,117.95,117.95,117.95,0
43,2016-05-09 07:40:00+00:00,117.95,117.95,117.95,117.95,0
44,2016-05-09 07:45:00+00:00,117.95,117.95,117.95,117.95,0
45,2016-05-09 07:50:00+00:00,117.95,117.95,117.95,117.95,0
46,2016-05-09 07:55:00+00:00,117.95,117.95,112.6,113.1,262
47,2016-05-09 08:00:00+00:00,112.6,112.6,112.6,112.6,10
48,2016-05-09 08:05:00+00:00,112.6,112.6,112.6,112.6,0
49,2016-05-09 08:10:00+00:00,112.6,112.6,112.6,112.6,0
50,2016-05-09 08:15:00+00:00,112.6,112.6,112.6,112.6,0
51,2016-05-09 08:20:00+00:00,113.0,113.0,112.55,112.55,205
52,2016-05-09 08:25:00+00:00,112.55,112.55,112.55,112.55,0
53,2016-05-09 08:30:00+00:00,112.55,113.6,112.55,113.6,31
54,2016-05-09 08:35:00+00:00,113.6,114.95,113.6,114.95,79
55,2016-05-09 08:40:00+00:00,114.95,114.95,114.95,114.95,0
56,2016-05-09 08:45:00+00:00,114.95,114.95,114.85,114.95,65
57,2016-05-09 08:50:00+00:00,114.95,115.0,114.9,115.0,926
58,2016-05-09 08:55:00+00:00,115.0,117.7,115.0,117.7,179
59,2016-05-09 09:00:00+00:00,117.7,117.7,117.7,117.7,0
